market regions/markets,total arrivals,year,quarter,month,Group2,total arrivals(daily),total arrivals_previous,Difference,,,,,,,
Germany,20250,2018,Q4,12,G7,653 ,19239,1011,,,,,,,
Germany,10802,2024,Q1,1,G7,348 ,10647,155,,,,,,,
Germany,9959,2024,Q1,2,G7,343 ,9731,228,,,,,,,
Germany,26088,2024,Q1,3,G7,842 ,25660,428,,,,,,,
Germany,24708,2024,Q2,4,G7,824 ,24177,531,,,,,,,
Germany,10408,2024,Q2,5,G7,336 ,9994,414,,,,,,,
Germany,7543,2024,Q2,6,G7,251 ,7170,373,,,,,,,
Germany,8413,2024,Q3,7,G7,271 ,8253,160,,,,,,,
Germany,10043,2024,Q3,8,G7,324 ,9816,227,,,,,,,
Germany,11154,2024,Q3,9,G7,372 ,10905,249,,,,,,,
Germany,17409,2024,Q4,10,G7,562 ,,,,,,,,,
Germany,16618,2024,Q4,11,G7,554 ,,,,,,,,,
Germany,14970,2024,Q4,12,G7,483 ,,,,,,,,,
Germany,13812,2025,Q1,1,G7,446 ,,,,,,,,,
Germany,11691,2025,Q1,2,G7,418 ,,,,,,,,,
Germany,23968,2025,Q1,3,G7,773 ,,,,,,,,,
Germany,28267,2025,Q2,4,G7,942 ,,,,,,,,,
Germany,11991,2025,Q2,5,G7,387 ,,,,,,,,,
Germany,9212,2025,Q2,6,G7,307 ,,,,,,,,,
Germany,9689,2025,Q3,7,G7,313 ,,,,,,,,,
Germany,12356,2025,Q3,8,G7,399 ,,,,,,,,,
India,30472,2018,Q1,1,India,983 ,27749,2723,,,,,,,
India,20994,2018,Q1,2,India,750 ,18778,2216,,,,,,,
India,33502,2018,Q1,3,India,1081 ,30766,2736,,,,,,,
India,38802,2018,Q2,4,India,1293 ,36195,2607,,,,,,,
India,49536,2018,Q2,5,India,1598 ,47248,2288,,,,,,,
India,46060,2018,Q2,6,India,1535 ,43640,2420,,,,,,,
India,28563,2018,Q3,7,India,921 ,26106,2457,,,,,,,
India,27160,2018,Q3,8,India,876 ,24958,2202,,,,,,,
India,33173,2018,Q3,9,India,1106 ,31040,2133,,,,,,,
India,32531,2018,Q4,10,India,1049 ,29468,3063,,,,,,,
India,38398,2018,Q4,11,India,1280 ,35606,2792,,,,,,,
India,39023,2018,Q4,12,India,1259 ,35127,3896,,,,,,,
India,23656,2024,Q1,1,India,763 ,22720,936,,,,,,,
India,18341,2024,Q1,2,India,632 ,17146,1195,,,,,,,
India,31701,2024,Q1,3,India,1023 ,30146,1555,,,,,,,
India,34866,2024,Q2,4,India,1162 ,33095,1771,,,,,,,
India,42356,2024,Q2,5,India,1366 ,40971,1385,,,,,,,
India,38890,2024,Q2,6,India,1296 ,36927,1963,,,,,,,
India,24999,2024,Q3,7,India,806 ,24103,896,,,,,,,
India,27931,2024,Q3,8,India,901 ,26328,1603,,,,,,,
India,33684,2024,Q3,9,India,1123 ,31466,2218,,,,,,,
India,34638,2024,Q4,10,India,1117 ,,,,,,,,,
India,32503,2024,Q4,11,India,1083 ,,,,,,,,,
India,34227,2024,Q4,12,India,1104 ,,,,,,,,,
India,22128,2025,Q1,1,India,714 ,,,,,,,,,
India,17856,2025,Q1,2,India,638 ,,,,,,,,,
India,35302,2025,Q1,3,India,1139 ,,,,,,,,,
India,49301,2025,Q2,4,India,1643 ,,,,,,,,,
India,44024,2025,Q2,5,India,1420 ,,,,,,,,,
India,37525,2025,Q2,6,India,1251 ,,,,,,,,,
India,26505,2025,Q3,7,India,855 ,,,,,,,,,
India,29692,2025,Q3,8,India,958 ,,,,,,,,,
Indonesia,45903,2018,Q1,1,ASEAN,1481 ,45348,555,,,,,,,
Indonesia,20542,2018,Q1,2,ASEAN,734 ,20125,417,,,,,,,
Indonesia,34363,2018,Q1,3,ASEAN,1108 ,33951,412,,,,,,,
Indonesia,35245,2018,Q2,4,ASEAN,1175 ,34805,440,,,,,,,
Indonesia,31690,2018,Q2,5,ASEAN,1022 ,31392,298,,,,,,,
Indonesia,62261,2018,Q2,6,ASEAN,2075 ,61527,734,,,,,,,
Indonesia,31447,2018,Q3,7,ASEAN,1014 ,30907,540,,,,,,,
Indonesia,23978,2018,Q3,8,ASEAN,773 ,23278,700,,,,,,,
Indonesia,28049,2018,Q3,9,ASEAN,935 ,27402,647,,,,,,,
Indonesia,30950,2018,Q4,10,ASEAN,998 ,30412,538,,,,,,,
Indonesia,36455,2018,Q4,11,ASEAN,1215 ,35850,605,,,,,,,
Indonesia,52811,2018,Q4,12,ASEAN,1704 ,52010,801,,,,,,,
Indonesia,27576,2024,Q1,1,ASEAN,890 ,26997,579,,,,,,,
Indonesia,20775,2024,Q1,2,ASEAN,716 ,20219,556,,,,,,,
Indonesia,25563,2024,Q1,3,ASEAN,825 ,25130,433,,,,,,,
Indonesia,42835,2024,Q2,4,ASEAN,1428 ,42110,725,,,,,,,
Indonesia,27400,2024,Q2,5,ASEAN,884 ,27110,290,,,,,,,
Indonesia,35780,2024,Q2,6,ASEAN,1193 ,35163,617,,,,,,,
Indonesia,26898,2024,Q3,7,ASEAN,868 ,26514,384,,,,,,,
Indonesia,20131,2024,Q3,8,ASEAN,649 ,19466,665,,,,,,,
Indonesia,26120,2024,Q3,9,ASEAN,871 ,25472,648,,,,,,,
Indonesia,29071,2024,Q4,10,ASEAN,938 ,,,,,,,,,
Indonesia,31164,2024,Q4,11,ASEAN,1039 ,,,,,,,,,
Indonesia,53660,2024,Q4,12,ASEAN,1731 ,,,,,,,,,
Indonesia,45094,2025,Q1,1,ASEAN,1455 ,,,,,,,,,
Indonesia,25351,2025,Q1,2,ASEAN,905 ,,,,,,,,,
Indonesia,36912,2025,Q1,3,ASEAN,1191 ,,,,,,,,,
Indonesia,42719,2025,Q2,4,ASEAN,1424 ,,,,,,,,,
Indonesia,30375,2025,Q2,5,ASEAN,980 ,,,,,,,,,
Indonesia,32009,2025,Q2,6,ASEAN,1067 ,,,,,,,,,
Indonesia,26762,2025,Q3,7,ASEAN,863 ,,,,,,,,,
Indonesia,19489,2025,Q3,8,ASEAN,629 ,,,,,,,,,
Japan,110317,2018,Q1,1,G7,3559 ,105771,4546,,,,,,,
Japan,80554,2018,Q1,2,G7,2877 ,76165,4389,,,,,,,
Japan,150134,2018,Q1,3,G7,4843 ,144709,5425,,,,,,,
Japan,95460,2018,Q2,4,G7,3182 ,90170,5290,,,,,,,
Japan,108906,2018,Q2,5,G7,3513 ,105494,3412,,,,,,,
Japan,98838,2018,Q2,6,G7,3295 ,93742,5096,,,,,,,
Japan,91754,2018,Q3,7,G7,2960 ,87439,4315,,,,,,,
Japan,124320,2018,Q3,8,G7,4010 ,119194,5126,,,,,,,
Japan,111944,2018,Q3,9,G7,3731 ,106482,5462,,,,,,,
Japan,109632,2018,Q4,10,G7,3537 ,103692,5940,,,,,,,
Japan,133482,2018,Q4,11,G7,4449 ,128720,4762,,,,,,,
Japan,131212,2018,Q4,12,G7,4233 ,126195,5017,,,,,,,
Japan,43873,2024,Q1,1,G7,1415 ,44235,-362,,,,,,,
Japan,46692,2024,Q1,2,G7,1610 ,46848,-156,,,,,,,
Japan,62665,2024,Q1,3,G7,2021 ,64348,-1683,,,,,,,
Japan,38615,2024,Q2,4,G7,1287 ,38983,-368,,,,,,,
Japan,42430,2024,Q2,5,G7,1369 ,43178,-748,,,,,,,
Japan,33198,2024,Q2,6,G7,1107 ,33706,-508,,,,,,,
Japan,31661,2024,Q3,7,G7,1021 ,32242,-581,,,,,,,
Japan,49343,2024,Q3,8,G7,1592 ,50245,-902,,,,,,,
Japan,53477,2024,Q3,9,G7,1783 ,54089,-612,,,,,,,
Japan,46364,2024,Q4,10,G7,1496 ,,,,,,,,,
Japan,54389,2024,Q4,11,G7,1813 ,,,,,,,,,
Japan,57462,2024,Q4,12,G7,1854 ,,,,,,,,,
Japan,52051,2025,Q1,1,G7,1679 ,,,,,,,,,
Japan,66444,2025,Q1,2,G7,2373 ,,,,,,,,,
Japan,88118,2025,Q1,3,G7,2843 ,,,,,,,,,
Japan,42252,2025,Q2,4,G7,1408 ,,,,,,,,,
Japan,56327,2025,Q2,5,G7,1817 ,,,,,,,,,
Japan,43462,2025,Q2,6,G7,1449 ,,,,,,,,,
Japan,46721,2025,Q3,7,G7,1507 ,,,,,,,,,
Japan,76299,2025,Q3,8,G7,2461 ,,,,,,,,,
Macau SAR,72488,2018,Q1,1,Macau SAR,2338 ,,,,,,,,,
Macau SAR,71727,2018,Q1,2,Macau SAR,2562 ,,,,,,,,,
Macau SAR,82008,2018,Q1,3,Macau SAR,2645 ,,,,,,,,,
Macau SAR,71192,2018,Q2,4,Macau SAR,2373 ,,,,,,,,,
Macau SAR,74428,2018,Q2,5,Macau SAR,2401 ,,,,,,,,,
Macau SAR,71436,2018,Q2,6,Macau SAR,2381 ,,,,,,,,,
Macau SAR,88911,2018,Q3,7,Macau SAR,2868 ,,,,,,,,,
Macau SAR,96404,2018,Q3,8,Macau SAR,3110 ,,,,,,,,,
Macau SAR,68597,2018,Q3,9,Macau SAR,2287 ,,,,,,,,,
Macau SAR,86291,2018,Q4,10,Macau SAR,2784 ,,,,,,,,,
Macau SAR,116265,2018,Q4,11,Macau SAR,3876 ,,,,,,,,,
Macau SAR,161028,2018,Q4,12,Macau SAR,5194 ,,,,,,,,,
Macau SAR,90579,2024,Q1,1,Macau SAR,2922 ,,,,,,,,,
Macau SAR,102075,2024,Q1,2,Macau SAR,3520 ,,,,,,,,,
Macau SAR,94966,2024,Q1,3,Macau SAR,3063 ,,,,,,,,,
Macau SAR,80470,2024,Q2,4,Macau SAR,2682 ,,,,,,,,,
Macau SAR,83748,2024,Q2,5,Macau SAR,2702 ,,,,,,,,,
Macau SAR,86237,2024,Q2,6,Macau SAR,2875 ,,,,,,,,,
Macau SAR,111361,2024,Q3,7,Macau SAR,3592 ,,,,,,,,,
Macau SAR,129523,2024,Q3,8,Macau SAR,4178 ,,,,,,,,,
Macau SAR,79687,2024,Q3,9,Macau SAR,2656 ,,,,,,,,,
Macau SAR,88525,2024,Q4,10,Macau SAR,2856 ,,,,,,,,,
Macau SAR,87774,2024,Q4,11,Macau SAR,2926 ,,,,,,,,,
Macau SAR,128797,2024,Q4,12,Macau SAR,4155 ,,,,,,,,,
Macau SAR,97808,2025,Q1,1,Macau SAR,3155 ,,,,,,,,,
Macau SAR,89904,2025,Q1,2,Macau SAR,3211 ,,,,,,,,,
Macau SAR,87661,2025,Q1,3,Macau SAR,2828 ,,,,,,,,,
Macau SAR,92514,2025,Q2,4,Macau SAR,3084 ,,,,,,,,,
Macau SAR,96012,2025,Q2,5,Macau SAR,3097 ,,,,,,,,,
Macau SAR,85369,2025,Q2,6,Macau SAR,2846 ,,,,,,,,,
Macau SAR,111912,2025,Q3,7,Macau SAR,3610 ,,,,,,,,,
Macau SAR,141976,2025,Q3,8,Macau SAR,4580 ,,,,,,,,,
Mainland China,4094994,2018,Q1,1,Mainland China,132097 ,4113241,-18247,,,,,,,
Mainland China,4377990,2018,Q1,2,Mainland China,156357 ,4399696,-21706,,,,,,,
Mainland China,3651676,2018,Q1,3,Mainland China,117796 ,3668375,-16699,,,,,,,
Mainland China,4032387,2018,Q2,4,Mainland China,134413 ,4056097,-23710,,,,,,,
Mainland China,3803977,2018,Q2,5,Mainland China,122709 ,3817370,-13393,,,,,,,
Mainland China,3616705,2018,Q2,6,Mainland China,120557 ,3634089,-17384,,,,,,,
Mainland China,4383980,2018,Q3,7,Mainland China,141419 ,4402955,-18975,,,,,,,
Mainland China,4803626,2018,Q3,8,Mainland China,154956 ,4825547,-21921,,,,,,,
Mainland China,3693871,2018,Q3,9,Mainland China,123129 ,3713464,-19593,,,,,,,
Mainland China,4628552,2018,Q4,10,Mainland China,149308 ,4654391,-25839,,,,,,,
Mainland China,4613103,2018,Q4,11,Mainland China,153770 ,4631378,-18275,,,,,,,
Mainland China,5102464,2018,Q4,12,Mainland China,164596 ,5121627,-19163,,,,,,,
Mainland China,2984761,2024,Q1,1,Mainland China,96283 ,2984259,502,,,,,,,
Mainland China,3245911,2024,Q1,2,Mainland China,111928 ,3248231,-2320,,,,,,,
Mainland China,2467491,2024,Q1,3,Mainland China,79596 ,2462406,5085,,,,,,,
Mainland China,2483291,2024,Q2,4,Mainland China,82776 ,2482581,710,,,,,,,
Mainland China,2627401,2024,Q2,5,Mainland China,84755 ,2626081,1320,,,,,,,
Mainland China,2341637,2024,Q2,6,Mainland China,78055 ,2337305,4332,,,,,,,
Mainland China,3140563,2024,Q3,7,Mainland China,101308 ,3140143,420,,,,,,,
Mainland China,3659538,2024,Q3,8,Mainland China,118050 ,3660390,-852,,,,,,,
Mainland China,2295568,2024,Q3,9,Mainland China,76519 ,2294786,782,,,,,,,
Mainland China,3138319,2024,Q4,10,Mainland China,101236 ,,,,,,,,,
Mainland China,2557894,2024,Q4,11,Mainland China,85263 ,,,,,,,,,
Mainland China,3100753,2024,Q4,12,Mainland China,100024 ,,,,,,,,,
Mainland China,3726236,2025,Q1,1,Mainland China,120201 ,,,,,,,,,
Mainland China,2769404,2025,Q1,2,Mainland China,98907 ,,,,,,,,,
Mainland China,2749719,2025,Q1,3,Mainland China,88701 ,,,,,,,,,
Mainland China,2813526,2025,Q2,4,Mainland China,93784 ,,,,,,,,,
Mainland China,3123593,2025,Q2,5,Mainland China,100761 ,,,,,,,,,
Mainland China,2611276,2025,Q2,6,Mainland China,87043 ,,,,,,,,,
Mainland China,3510343,2025,Q3,7,Mainland China,113237 ,,,,,,,,,
Mainland China,4223347,2025,Q3,8,Mainland China,136237 ,,,,,,,,,
Malaysia,47044,2018,Q1,1,ASEAN,1518 ,44684,2360,,,,,,,
Malaysia,26422,2018,Q1,2,ASEAN,944 ,24527,1895,,,,,,,
Malaysia,57553,2018,Q1,3,ASEAN,1857 ,54963,2590,,,,,,,
Malaysia,43813,2018,Q2,4,ASEAN,1460 ,41235,2578,,,,,,,
Malaysia,37691,2018,Q2,5,ASEAN,1216 ,35565,2126,,,,,,,
Malaysia,43921,2018,Q2,6,ASEAN,1464 ,41644,2277,,,,,,,
Malaysia,30933,2018,Q3,7,ASEAN,998 ,28820,2113,,,,,,,
Malaysia,32888,2018,Q3,8,ASEAN,1061 ,30658,2230,,,,,,,
Malaysia,35879,2018,Q3,9,ASEAN,1196 ,33867,2012,,,,,,,
Malaysia,41631,2018,Q4,10,ASEAN,1343 ,38910,2721,,,,,,,
Malaysia,67061,2018,Q4,11,ASEAN,2235 ,63461,3600,,,,,,,
Malaysia,76342,2018,Q4,12,ASEAN,2463 ,72267,4075,,,,,,,
Malaysia,27958,2024,Q1,1,ASEAN,902 ,26904,1054,,,,,,,
Malaysia,29157,2024,Q1,2,ASEAN,1005 ,28417,740,,,,,,,
Malaysia,37805,2024,Q1,3,ASEAN,1220 ,36276,1529,,,,,,,
Malaysia,37765,2024,Q2,4,ASEAN,1259 ,36417,1348,,,,,,,
Malaysia,32027,2024,Q2,5,ASEAN,1033 ,30691,1336,,,,,,,
Malaysia,25779,2024,Q2,6,ASEAN,859 ,24411,1368,,,,,,,
Malaysia,22302,2024,Q3,7,ASEAN,719 ,21563,739,,,,,,,
Malaysia,22131,2024,Q3,8,ASEAN,714 ,20625,1506,,,,,,,
Malaysia,33845,2024,Q3,9,ASEAN,1128 ,32489,1356,,,,,,,
Malaysia,36251,2024,Q4,10,ASEAN,1169 ,,,,,,,,,
Malaysia,43756,2024,Q4,11,ASEAN,1459 ,,,,,,,,,
Malaysia,56732,2024,Q4,12,ASEAN,1830 ,,,,,,,,,
Malaysia,31073,2025,Q1,1,ASEAN,1002 ,,,,,,,,,
Malaysia,30801,2025,Q1,2,ASEAN,1100 ,,,,,,,,,
Malaysia,42325,2025,Q1,3,ASEAN,1365 ,,,,,,,,,
Malaysia,35632,2025,Q2,4,ASEAN,1188 ,,,,,,,,,
Malaysia,33926,2025,Q2,5,ASEAN,1094 ,,,,,,,,,
Malaysia,29356,2025,Q2,6,ASEAN,979 ,,,,,,,,,
Malaysia,20987,2025,Q3,7,ASEAN,677 ,,,,,,,,,
Malaysia,23090,2025,Q3,8,ASEAN,745 ,,,,,,,,,
Netherlands,8034,2018,Q1,1,Netherlands,259 ,7489,545,,,,,,,
Netherlands,5953,2018,Q1,2,Netherlands,213 ,5671,282,,,,,,,
Netherlands,8258,2018,Q1,3,Netherlands,266 ,7926,332,,,,,,,
Netherlands,9759,2018,Q2,4,Netherlands,325 ,9282,477,,,,,,,
Netherlands,7518,2018,Q2,5,Netherlands,243 ,7148,370,,,,,,,
Netherlands,5814,2018,Q2,6,Netherlands,194 ,5382,432,,,,,,,
Netherlands,8939,2018,Q3,7,Netherlands,288 ,8553,386,,,,,,,
Netherlands,9708,2018,Q3,8,Netherlands,313 ,9486,222,,,,,,,
Netherlands,6519,2018,Q3,9,Netherlands,217 ,5990,529,,,,,,,
Netherlands,10573,2018,Q4,10,Netherlands,341 ,9989,584,,,,,,,
Netherlands,9844,2018,Q4,11,Netherlands,328 ,9298,546,,,,,,,
Netherlands,7840,2018,Q4,12,Netherlands,253 ,7649,191,,,,,,,
Netherlands,6039,2024,Q1,1,Netherlands,195 ,6054,-15,,,,,,,
Netherlands,5312,2024,Q1,2,Netherlands,183 ,5225,87,,,,,,,
Netherlands,6556,2024,Q1,3,Netherlands,211 ,6332,224,,,,,,,
Netherlands,7971,2024,Q2,4,Netherlands,266 ,7778,193,,,,,,,
Netherlands,6272,2024,Q2,5,Netherlands,202 ,6106,166,,,,,,,
Netherlands,3900,2024,Q2,6,Netherlands,130 ,3826,74,,,,,,,
Netherlands,7673,2024,Q3,7,Netherlands,248 ,7538,135,,,,,,,
Netherlands,8444,2024,Q3,8,Netherlands,272 ,8345,99,,,,,,,
Netherlands,4862,2024,Q3,9,Netherlands,162 ,4784,78,,,,,,,
Netherlands,8683,2024,Q4,10,Netherlands,280 ,,,,,,,,,
Netherlands,8108,2024,Q4,11,Netherlands,270 ,,,,,,,,,
Netherlands,6120,2024,Q4,12,Netherlands,197 ,,,,,,,,,
Netherlands,5725,2025,Q1,1,Netherlands,185 ,,,,,,,,,
Netherlands,5878,2025,Q1,2,Netherlands,210 ,,,,,,,,,
Netherlands,7309,2025,Q1,3,Netherlands,236 ,,,,,,,,,
Netherlands,8907,2025,Q2,4,Netherlands,297 ,,,,,,,,,
Netherlands,6211,2025,Q2,5,Netherlands,200 ,,,,,,,,,
Netherlands,4092,2025,Q2,6,Netherlands,136 ,,,,,,,,,
Netherlands,8020,2025,Q3,7,Netherlands,259 ,,,,,,,,,
Netherlands,9020,2025,Q3,8,Netherlands,291 ,,,,,,,,,
Philippines,70236,2018,Q1,1,ASEAN,2266 ,66932,3304,,,,,,,
Philippines,52602,2018,Q1,2,ASEAN,1879 ,50471,2131,,,,,,,
Philippines,79680,2018,Q1,3,ASEAN,2570 ,77677,2003,,,,,,,
Philippines,82399,2018,Q2,4,ASEAN,2747 ,79832,2567,,,,,,,
Philippines,93040,2018,Q2,5,ASEAN,3001 ,90537,2503,,,,,,,
Philippines,85758,2018,Q2,6,ASEAN,2859 ,83369,2389,,,,,,,
Philippines,63439,2018,Q3,7,ASEAN,2046 ,60535,2904,,,,,,,
Philippines,63613,2018,Q3,8,ASEAN,2052 ,61003,2610,,,,,,,
Philippines,57967,2018,Q3,9,ASEAN,1932 ,56067,1900,,,,,,,
Philippines,77693,2018,Q4,10,ASEAN,2506 ,75478,2215,,,,,,,
Philippines,94158,2018,Q4,11,ASEAN,3139 ,91678,2480,,,,,,,
Philippines,105277,2018,Q4,12,ASEAN,3396 ,101242,4035,,,,,,,
Philippines,86513,2024,Q1,1,ASEAN,2791 ,85578,935,,,,,,,
Philippines,79126,2024,Q1,2,ASEAN,2728 ,77970,1156,,,,,,,
Philippines,101016,2024,Q1,3,ASEAN,3259 ,100691,325,,,,,,,
Philippines,85115,2024,Q2,4,ASEAN,2837 ,83873,1242,,,,,,,
Philippines,86364,2024,Q2,5,ASEAN,2786 ,85698,666,,,,,,,
